Year,State_Code,State,Category,Topic,Question,Measure_Type,Unit,Value,CI_Low,CI_High,Stratification_Category,Stratification,Stratification_Category2,Stratification2,Question_Short
2022,WEST,West,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that is happening more often or is getting worse in the preceding 12 months,Percentage,%,18.9,7.6,39.9,Age Group,Overall,Race/Ethnicity,Native Am/Alaskan Native,Percentage of older adults who reported subjective cognitive decline or memory l...
2022,VT,Vermont,Cognitive Decline,Need assistance with day-to-day activities because of subjective cognitive decline or memory loss,Percentage of older adults who reported that as a result of subjective cognitive decline or memory loss that they need assistance with day-to-day activities,Percentage,%,26.8,19.5,35.6,Age Group,50-64 years,Race/Ethnicity,"White, non-Hispanic",Percentage of older adults who reported that as a result of subjective cognitive...
2022,WI,Wisconsin,Cognitive Decline,Need assistance with day-to-day activities because of subjective cognitive decline or memory loss,Percentage of older adults who reported that as a result of subjective cognitive decline or memory loss that they need assistance with day-to-day activities,Percentage,%,21.9,17.1,27.7,Age Group,65 years or older,,,Percentage of older adults who reported that as a result of subjective cognitive...
2022,WI,Wisconsin,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that is happening more often or is getting worse in the preceding 12 months,Percentage,%,8.1,6.9,9.6,Age Group,50-64 years,Race/Ethnicity,"White, non-Hispanic",Percentage of older adults who reported subjective cognitive decline or memory l...
2022,VT,Vermont,Cognitive Decline,Talked with health care professional about subjective cognitive decline or memory loss,Percentage of older adults with subjective cognitive decline or memory loss who reported talking with a health care professional about it,Percentage,%,60.7,51.2,69.5,Age Group,50-64 years,Race/Ethnicity,"White, non-Hispanic",Percentage of older adults with subjective cognitive decline or memory loss who ...
2022,WEST,West,Cognitive Decline,Talked with health care professional about subjective cognitive decline or memory loss,Percentage of older adults with subjective cognitive decline or memory loss who reported talking with a health care professional about it,Percentage,%,40.5,34.0,47.3,Age Group,65 years or older,Race/Ethnicity,"White, non-Hispanic",Percentage of older adults with subjective cognitive decline or memory loss who ...
2022,VT,Vermont,Cognitive Decline,Need assistance with day-to-day activities because of subjective cognitive decline or memory loss,Percentage of older adults who reported that as a result of subjective cognitive decline or memory loss that they need assistance with day-to-day activities,Percentage,%,31.9,21.0,45.2,Age Group,50-64 years,Sex,Male,Percentage of older adults who reported that as a result of subjective cognitive...
2022,VT,Vermont,Cognitive Decline,Talked with health care professional about subjective cognitive decline or memory loss,Percentage of older adults with subjective cognitive decline or memory loss who reported talking with a health care professional about it,Percentage,%,52.1,46.3,57.9,Age Group,Overall,,,Percentage of older adults with subjective cognitive decline or memory loss who ...
2022,VT,Vermont,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that interferes with their ability to engage in social activities or household chores,Percentage,%,29.3,22.0,37.9,Age Group,Overall,Sex,Male,Percentage of older adults who reported subjective cognitive decline or memory l...
2022,WI,Wisconsin,Cognitive Decline,Talked with health care professional about subjective cognitive decline or memory loss,Percentage of older adults with subjective cognitive decline or memory loss who reported talking with a health care professional about it,Percentage,%,33.7,26.3,41.9,Age Group,65 years or older,Sex,Female,Percentage of older adults with subjective cognitive decline or memory loss who ...
